return_period,median,LB,RB,group
180,-1540.1069722892512,-2045.245709503191,-736.1593967478776,low
190,-1600.2545012778642,-2115.4819859732347,-776.710521481142,low
200,-1664.098538022552,-2187.5713976199872,-822.8507710173576,low
210,-1731.070963146173,-2262.771178723922,-874.5609137143887,low
220,-1788.56441042574,-2325.283283963947,-915.5067417601407,low
230,-1844.3153752489,-2385.5082336044256,-954.0383813095976,low
240,-1898.6486661757463,-2445.6019997431586,-991.5752995004236,low
250,-1951.3185779972632,-2503.2026334931143,-1027.9197542489653,low
260,-2001.9108530853061,-2558.1115703372093,-1061.548518254476,low
270,-2040.8108266261002,-2599.627351281961,-1084.4031847997703,low
280,-2063.4791298066866,-2623.655899090032,-1094.2037059497543,low
290,-2056.854281731895,-2619.8144677073096,-1075.4905750863616,low
300,-2031.9225833094636,-2599.535732585964,-1041.0506262889014,low
310,-1991.26021784766,-2562.008057780028,-992.1605373998065,low
320,-1938.2416300400357,-2512.2202790172696,-964.0580989412908,low
330,-1872.7219627875659,-2447.73152189395,-900.6080894099177,low
340,-1795.9172980792573,-2373.060371713576,-808.0837100802651,low
350,-1711.3635691647216,-2287.274259008511,-724.2399101508763,low
360,-1623.2639685974505,-2197.9229269602574,-627.7367567165038,low
370,-1522.5925626493408,-2097.808217943324,-524.8192372616016,low
380,-1418.8585948812483,-1994.1023401302527,-411.70967533447856,low
390,-1321.278735200326,-1899.2808281031225,-306.0126926122798,low
400,-1227.4501832402702,-1810.3297089651073,-206.6127957506178,low
410,-1138.0141272610058,-1726.3527072027764,-112.15244113907829,low
420,-1053.9768542760025,-1644.1901905612635,-21.99613586472651,low
430,-974.397785793315,-1565.9706932270606,66.28055804052246,low
440,-899.3838986131764,-1489.114183153049,147.39848820315092,low
450,-828.7025068638163,-1421.092261323945,220.2415080632586,low
460,-765.190668842663,-1358.1725456521149,289.60337090847725,low
470,-702.2884350822137,-1296.4936570092223,358.7862480695808,low
480,-641.8749428555939,-1236.0331420184634,426.40732671895967,low
490,-582.3465018299653,-1179.1665436048838,491.04052133967116,low
500,-526.3548886699873,-1125.7744378951538,552.8570474680014,low
510,-473.17103471751943,-1074.8517938462046,612.0151695267141,low
520,-421.378452476868,-1026.4540968553124,668.6614159843034,low
530,-371.7149408274872,-981.3452276650714,722.9316590914527,low
540,-324.42988231164964,-936.474149793069,774.9520765876637,low
