return_period,median,LB,RB,group
860,242.14832833361015,-92.62087134929696,1234.532928175062,middle
870,242.56343016082337,-92.75923862503531,1235.2247645537545,middle
880,242.89665435399002,-92.89665435398909,1235.911843198518,middle
890,243.03313578869074,-93.03313578868982,1236.5942503720253,middle
900,243.16869967905495,-93.16869967905403,1237.2720698238463,middle
910,243.30336229241857,-93.30336229241946,1237.9453828906644,middle
920,243.12572113481747,-93.4371394325908,1238.6142685915256,middle
930,242.85990708412191,-93.57004645793857,1239.2788037182636,middle
940,243.11848231144904,-93.70209829858139,1239.9390629214831,middle
950,243.3809046598044,-93.83330947275861,1240.5951187923683,middle
960,243.64167391906358,-93.9636941023882,1241.2470419405126,middle
970,243.90081757007738,-94.0932659278942,1241.8949010680517,middle
980,244.15836235895858,-94.2220383223357,1242.5387630402547,middle
990,244.28571428571377,-94.28571428571375,1242.8571428571422,middle
1000,244.28571428571377,-94.28571428571557,1242.8571428571422,middle
10,-56.75395050928667,-130.30403120050929,0.0,high
20,-147.6945860073971,-251.6594428025614,0.0,high
30,-231.9224192979678,-357.04830831240815,0.0,high
40,-241.11679855232205,-383.153172024675,46.426143533470196,high
50,-219.9693843311519,-376.8443630460564,116.44566524164662,high
60,-192.78097738148318,-363.26719389520866,186.99822537848732,high
70,-167.90819222139555,-347.9999421006454,248.16709318783748,high
80,-140.33462921472517,-329.86656916458503,309.46727237450887,high
90,-116.57667077582767,-314.7661801991811,360.21515753880067,high
100,-91.96109034644996,-297.28578739884176,411.0392545815009,high
110,-66.27462669361341,-278.2789744749657,461.4659095891377,high
120,-43.878632374960716,-262.1704318135023,504.2485648694606,high
130,-22.80076607285939,-246.08247399751394,545.472986094202,high
140,-1.5798999276537415,-230.21331626006554,586.1354175387452,high
150,17.750166213937973,-216.42842978682302,622.1944572933802,high
160,35.42347858400694,-203.08160212793632,657.9183768391482,high
170,52.553908125378484,-191.48345261829195,692.2449244425754,high
180,68.359770302593,-178.59219983842354,723.8976916913309,high
190,82.8393937586577,-166.52296800700333,752.3268782668171,high
200,96.336969483458,-156.09860839218254,779.4195929227863,high
210,109.3604919907093,-146.54038157141827,805.3387536617156,high
220,121.49783464698498,-138.29045418560258,830.0113805418569,high
230,132.09412212860957,-130.08323717475218,852.6454537715993,high
240,141.15749658993423,-123.08612179094985,874.2848679449569,high
250,150.64379508875163,-116.65150038694581,894.9754185415613,high
260,158.4503369232707,-110.66618761786458,914.8734034483266,high
270,166.20182457269902,-105.27671353202913,933.3795224568316,high
280,173.38311534136346,-100.50978749206888,950.3149608422673,high
290,179.82219894532818,-96.19126631887775,966.1631876897736,high
300,186.20248703721518,-92.90070664642462,980.4759190318414,high
310,192.22240586974976,-89.23682473466761,994.167413147145,high
320,197.15979006612724,-87.55767083896353,1007.2428520359829,high
330,202.81580478596788,-85.5691923463828,1019.1708224953748,high
340,207.32546861157243,-83.17876318841081,1030.5581641262054,high
350,211.05895613998473,-81.10380733299007,1041.4268408773848,high
360,214.25869212683529,-80.21884288525553,1051.7979334274767,high
370,216.98794583013114,-79.63975557199818,1061.6978933510431,high
380,219.2626708848552,-79.33527925906945,1071.084625128602,high
390,221.05483931779963,-78.91372700227565,1079.328886062246,high
400,223.450676522883,-78.77472720838794,1087.2642201848894,high
410,225.0755019014523,-78.90890983975804,1094.799733806752,high
420,226.40640504997828,-79.30707291682347,1101.9502424478483,high
430,226.9931319073121,-79.96020119920831,1108.7299795412764,high
440,227.6592160762243,-80.85956336702384,1115.1525451893422,high
450,228.8483354287041,-81.70547828584631,1120.8789857153906,high
460,229.4588550126141,-82.31599786975812,1125.966648914647,high
470,230.0614536300609,-82.980050117264,1130.9883040600298,high
480,230.7335811049761,-84.1699419415695,1135.9461866613,high
490,231.59705377710452,-85.34503596109607,1140.842411742659,high
500,232.16860432643398,-86.11004934679204,1145.283219019348,high
510,232.5509096392998,-86.68350731609371,1149.4885774608824,high
520,233.03613285181746,-87.17865514179084,1153.5731028358405,high
530,233.74731525585503,-87.36540024253281,1157.3080048506981,high
540,234.48587840764867,-87.55004103048668,1161.0008206096795,high
550,235.12450328217346,-88.07341544273731,1164.6527914993994,high
560,235.1683365005474,-88.79587723882742,1168.265100479845,high
570,235.70440280222283,-89.51063230772706,1171.8388758243473,high
580,235.1937208161471,-89.69733115652434,1175.3751945590143,high
590,235.45893713447003,-89.08212573106084,1178.8750856304168,high
600,235.6687376443424,-88.61697664137228,1182.157340547641,high
610,235.4972404117243,-88.78847387398582,1184.901296269521,high
620,235.32742323801267,-88.95829104770199,1187.6183710489308,high
630,235.15924293746048,-89.12647134825237,1190.3092558577714,high
640,235.7436533153077,-89.29305618597208,1192.9746132612345,high
650,236.4037697524227,-89.45808529524764,1195.6150790096945,high
660,236.76445396989402,-89.62159682703438,1198.231263518298,high
670,237.14285714285688,-89.78362743488557,1200.823753243918,high
680,238.06933976759137,-89.94421235512797,1203.393111967779,high
690,238.98497049792877,-90.10338548162505,1205.6297255468444,high
700,239.61614631373232,-90.26117943557615,1207.6810469481998,high
710,240.2419310943842,-90.41762563073912,1209.714847485323,high
720,240.8624459092207,-90.57275433444734,1211.731520633538,high
730,240.67735868292402,-90.72659472473875,1213.7314457073235,high
740,240.2196180254541,-90.8791749438969,1215.7149885563604,high
750,240.23442358885404,-91.03052214866689,1217.6825022183712,high
760,241.1217807590847,-91.18066255741901,1219.6343275321788,high
770,241.42857142857156,-91.32962149446026,1221.570793713683,high
780,241.6239794410103,-91.47742343168008,1223.5410709006728,high
790,242.21065382549568,-91.62409202780142,1225.5944312463735,high
800,242.79288637549325,-91.76965016530082,1227.632245171365,high
810,243.3146171723747,-91.91411998524015,1229.654822650522,high
820,243.02781130260792,-92.057522920124,1231.5455175837305,high
830,242.7430976930391,-92.19987972490796,1232.427970053116,high
840,242.46043613024085,-92.34121050630799,1233.1346239601116,high
850,242.1797876418732,-92.48153475049183,1233.8362451810326,high
860,242.14832833361015,-92.62087134929696,1234.532928175062,high
870,242.56343016082337,-92.75923862503531,1235.2247645537545,high
880,242.89665435399002,-92.89665435398909,1235.911843198518,high
890,243.03313578869074,-93.03313578868982,1236.5942503720253,high
900,243.16869967905495,-93.16869967905403,1237.2720698238463,high
910,243.30336229241857,-93.30336229241946,1237.9453828906644,high
920,243.12572113481747,-93.4371394325908,1238.6142685915256,high
930,242.85990708412191,-93.57004645793857,1239.2788037182636,high
940,243.11848231144904,-93.70209829858139,1239.9390629214831,high
950,243.3809046598044,-93.83330947275861,1240.5951187923683,high
960,243.64167391906358,-93.9636941023882,1241.2470419405126,high
970,243.90081757007738,-94.0932659278942,1241.8949010680517,high
980,244.15836235895858,-94.2220383223357,1242.5387630402547,high
990,244.28571428571377,-94.28571428571375,1242.8571428571422,high
1000,244.28571428571377,-94.28571428571557,1242.8571428571422,high
