risk_averse,breach,pop_growth,mem,fixed_effect,slr,RSI
0.9697265625,0.0,0.01537109375,15.0,0.053027343750000004,1.0,0.0
0.2958984375,0.0,0.01537109375,15.0,0.053027343750000004,1.0,0.0
0.9697265625,0.0,0.01537109375,15.0,0.053027343750000004,1.0,0.0
0.9697265625,0.0,0.00501953125,15.0,0.053027343750000004,1.0,0.0
0.9697265625,0.0,0.01537109375,13.0,0.053027343750000004,1.0,0.0
0.9697265625,0.0,0.01537109375,15.0,0.08349609375,1.0,0.0
0.9697265625,0.0,0.01537109375,15.0,0.053027343750000004,2.0,0.0
0.9697265625,0.0,0.00501953125,13.0,0.08349609375,2.0,0.0
0.2958984375,0.0,0.00501953125,13.0,0.08349609375,2.0,0.0
0.2958984375,0.0,0.01537109375,13.0,0.08349609375,2.0,0.0
0.2958984375,0.0,0.00501953125,15.0,0.08349609375,2.0,0.0
0.2958984375,0.0,0.00501953125,13.0,0.053027343750000004,2.0,0.0
0.2958984375,0.0,0.00501953125,13.0,0.08349609375,1.0,0.0
0.2958984375,0.0,0.00501953125,13.0,0.08349609375,2.0,0.0
0.4697265625,1.0,0.00537109375,9.0,0.00302734375,2.0,0.0
0.7958984375,1.0,0.00537109375,9.0,0.00302734375,2.0,0.0
0.4697265625,1.0,0.00537109375,9.0,0.00302734375,2.0,0.0
0.4697265625,1.0,0.01501953125,9.0,0.00302734375,2.0,0.0
0.4697265625,1.0,0.00537109375,7.0,0.00302734375,2.0,0.0
0.4697265625,1.0,0.00537109375,9.0,0.033496093750000004,2.0,0.0
0.4697265625,1.0,0.00537109375,9.0,0.00302734375,1.0,0.0
0.4697265625,1.0,0.01501953125,7.0,0.033496093750000004,1.0,0.0
0.7958984375,1.0,0.01501953125,7.0,0.033496093750000004,1.0,0.0
0.7958984375,1.0,0.00537109375,7.0,0.033496093750000004,1.0,0.0
0.7958984375,1.0,0.01501953125,9.0,0.033496093750000004,1.0,0.0
0.7958984375,1.0,0.01501953125,7.0,0.00302734375,1.0,0.0
0.7958984375,1.0,0.01501953125,7.0,0.033496093750000004,2.0,0.0
0.7958984375,1.0,0.01501953125,7.0,0.033496093750000004,1.0,0.0
0.3447265625,0.0,0.00287109375,7.0,0.01552734375,3.0,0.0
0.4208984375,0.0,0.00287109375,7.0,0.01552734375,3.0,0.0
0.3447265625,0.0,0.00287109375,7.0,0.01552734375,3.0,0.0
0.3447265625,0.0,0.00751953125,7.0,0.01552734375,3.0,0.0
0.3447265625,0.0,0.00287109375,12.0,0.01552734375,3.0,0.0
0.3447265625,0.0,0.00287109375,7.0,0.09599609375000001,3.0,0.0
0.3447265625,0.0,0.00287109375,7.0,0.01552734375,1.0,0.0
0.3447265625,0.0,0.00751953125,12.0,0.09599609375000001,1.0,0.0
0.4208984375,0.0,0.00751953125,12.0,0.09599609375000001,1.0,0.0
0.4208984375,0.0,0.00287109375,12.0,0.09599609375000001,1.0,0.0
0.4208984375,0.0,0.00751953125,7.0,0.09599609375000001,1.0,0.0
0.4208984375,0.0,0.00751953125,12.0,0.01552734375,1.0,0.0
0.4208984375,0.0,0.00751953125,12.0,0.09599609375000001,3.0,0.0
0.4208984375,0.0,0.00751953125,12.0,0.09599609375000001,1.0,0.0
0.8447265625,1.0,0.01287109375,13.0,0.06552734375000001,1.0,0.0
0.9208984375,1.0,0.01287109375,13.0,0.06552734375000001,1.0,0.0
0.8447265625,1.0,0.01287109375,13.0,0.06552734375000001,1.0,0.0
0.8447265625,1.0,0.01751953125,13.0,0.06552734375000001,1.0,0.0
0.8447265625,1.0,0.01287109375,6.0,0.06552734375000001,1.0,0.0
0.8447265625,1.0,0.01287109375,13.0,0.04599609375,1.0,0.0
0.8447265625,1.0,0.01287109375,13.0,0.06552734375000001,2.0,0.0
0.8447265625,1.0,0.01751953125,6.0,0.04599609375,2.0,0.0
0.9208984375,1.0,0.01751953125,6.0,0.04599609375,2.0,0.0
0.9208984375,1.0,0.01287109375,6.0,0.04599609375,2.0,0.0
0.9208984375,1.0,0.01751953125,13.0,0.04599609375,2.0,0.0
0.9208984375,1.0,0.01751953125,6.0,0.06552734375000001,2.0,0.0
0.9208984375,1.0,0.01751953125,6.0,0.04599609375,1.0,0.0
0.9208984375,1.0,0.01751953125,6.0,0.04599609375,2.0,0.0
0.5947265625,0.0,0.00787109375,4.0,0.09052734375,1.0,0.0
0.1708984375,0.0,0.00787109375,4.0,0.09052734375,1.0,0.0
0.5947265625,1.0,0.00787109375,4.0,0.09052734375,1.0,0.0
0.5947265625,0.0,0.01251953125,4.0,0.09052734375,1.0,0.0
0.5947265625,0.0,0.00787109375,9.0,0.09052734375,1.0,0.0
