return_period,median,LB,RB,group
520,2255.9324222367186,1032.108733408334,3728.7213176248133,stable
530,2264.264236332543,1035.6568903224506,3744.40790608722,stable
540,2270.172741546912,1039.1650652934795,3759.917732274933,stable
550,2276.854683966925,1042.634437638717,3775.2560100117644,stable
560,2282.9026602214126,1046.066131170137,3790.4277077296338,stable
570,2289.8715221431867,1049.4612177474182,3805.437564176548,stable
580,2296.767343675794,1051.9491363267116,3820.2901028621436,stable
590,2301.987577067377,1052.4741199874206,3833.6645939837836,stable
600,2305.879896733679,1052.9482389970253,3845.590027053654,stable
610,2311.882299875293,1053.2912334622615,3855.8798610106987,stable
620,2317.825900955253,1053.6308678096866,3866.0688914334905,stable
630,2323.7122114745926,1053.967228410791,3876.1597094666404,stable
640,2328.7476341775655,1054.300398086225,3886.316321535257,stable
650,2333.545386171778,1054.6304563047815,3899.848708496108,stable
660,2338.941266720778,1056.6326095631612,3913.256654102709,stable
670,2344.157940741972,1060.521344151588,3926.543163946505,stable
680,2348.493733588479,1064.375382237382,3939.711127406298,stable
690,2352.584637040638,1067.8853808284202,3949.248217403736,stable
700,2356.5294858894013,1071.1990538613773,3956.822327193353,stable
710,2360.9245029572394,1074.4844239598024,3964.3317445611883,stable
720,2364.3188583611973,1077.7421267376903,3971.7779223392135,stable
730,2368.1648681184834,1080.9727749338163,3979.1622610731993,stable
740,2371.9793735973963,1083.6268602093478,3986.486111592716,stable
750,2375.763053716648,1084.988985052274,3993.7507774216756,stable
760,2379.5165639355127,1086.3402487310686,4000.957517041892,stable
770,2383.2405373614783,1087.680879164418,4008.107546019759,stable
780,2386.202805745379,1088.9133925931947,4014.420406956635,stable
790,2389.4291770996697,1089.940072766045,4019.113802032525,stable
800,2392.19478171216,1090.958979728539,4023.771662432504,stable
810,2394.9397082910127,1091.9702684681233,4028.3946966705807,stable
820,2397.6643640538023,1092.9740890123048,4032.983590586853,stable
830,2400.3691433446966,1093.9705866457898,4037.5390083399434,stable
840,2403.0544281912807,1094.959902115581,4042.061593344719,stable
850,2405.7205888307763,1095.942171824874,4046.5519691586014,stable
860,2408.3679842081,1096.91752801652,4051.0107403204056,stable
870,2410.9969624471214,1097.8860989466866,4055.4384931440327,stable
880,2413.0942118382227,1098.6504515651213,4059.3221470115095,stable
890,2413.9131004464325,1098.9234144345264,4061.915294270839,stable
900,2414.7264837886178,1099.1945422152548,4064.4910081877606,stable
910,2415.534459468796,1099.4638674419784,4067.0495978416693,stable
920,2416.337122309822,1099.731421722321,4069.5913635049365,stable
930,2417.1345644619214,1099.9972357730167,4072.1165969865397,stable
940,2417.987812584299,1100.261339454306,4074.6255819587823,stable
950,2418.7141425508453,1100.5237618026604,4077.1185942681404,stable
960,2419.4964503286137,1100.7845310619214,4079.5959022310926,stable
970,2420.273881281664,1101.0436747129352,4081.9763339918954,stable
980,2421.046515648304,1101.3012195018146,4083.5216027251827,stable
990,2421.4285714285725,1101.4285714285743,4084.2857142857174,stable
1000,2421.428571428576,1101.4285714285725,4084.2857142857174,stable
10,-6.190648219730393,-57.879522912874,0.0,vulnerable
20,-50.786856447471365,-177.37372851684708,0.0,vulnerable
30,-118.71857386069885,-311.9535646303865,4.0956933699305385,vulnerable
40,-53.01048764123547,-284.8624355425942,155.27492175959293,vulnerable
50,58.77583367567769,-203.70945728861886,363.76188792263645,vulnerable
60,180.22022492091173,-120.80456968149679,565.6487135142471,vulnerable
70,281.5576216789723,-47.853886597578594,757.2267203685931,vulnerable
80,384.8031219773385,-4.299436553142632,943.7830128921721,vulnerable
90,476.30500989071186,32.790686564156886,1099.4187040611466,vulnerable
100,565.3110517600767,68.51456141765618,1257.848887144749,vulnerable
110,661.2678216512941,97.25038819714374,1407.697954853135,vulnerable
120,746.0257346791386,134.0241598807611,1540.7380169070482,vulnerable
130,827.3146595371682,176.57580710120192,1666.7457829945286,vulnerable
140,910.3070223579045,211.7916237522254,1787.453079184863,vulnerable
150,977.5610969390291,246.4375213315343,1895.228265587114,vulnerable
160,1046.384805067129,271.47500641754596,1991.645248300586,vulnerable
170,1111.259683970286,294.94029487621583,2096.4299571698284,vulnerable
180,1171.9758214820863,319.5564364104557,2187.612441120178,vulnerable
190,1221.2741461383187,341.79896401634414,2267.534006456362,vulnerable
200,1271.7089992248957,362.79006141927357,2341.698211658533,vulnerable
210,1320.683457471112,382.7112248544331,2421.306547841863,vulnerable
220,1364.7835800477696,401.5090579320477,2493.983645755593,vulnerable
230,1407.8282518909423,418.12301803296947,2558.2104598324668,vulnerable
240,1447.7729955055852,439.5904440010855,2618.7224520134573,vulnerable
250,1486.7154030184765,461.98315911258493,2676.566381589622,vulnerable
260,1524.045104350119,483.2379897392593,2732.143663948538,vulnerable
270,1557.268442411958,498.7450741505422,2784.0722974378464,vulnerable
280,1587.8814333074497,509.36335326078733,2831.9416544957917,vulnerable
290,1619.470906445903,519.3179113533483,2879.6011872951217,vulnerable
300,1647.5315976614825,528.6007880750471,2927.6932171256026,vulnerable
310,1670.6967312180404,537.6330442008516,2969.8888249267397,vulnerable
320,1696.486060006996,545.1964935256224,3010.1871071616615,vulnerable
330,1719.318953904476,549.5498506984486,3044.1721786627127,vulnerable
340,1740.8749500871882,554.8405861298456,3076.6836516750755,vulnerable
350,1761.2156523510748,559.681868092986,3107.7924872452686,vulnerable
360,1778.899312242489,564.0754464145034,3137.5653106327727,vulnerable
370,1796.615159155721,568.0350294346986,3167.476179738278,vulnerable
380,1811.22332055885,571.5136986010853,3196.101870012347,vulnerable
390,1823.5801374170906,573.896820790143,3222.0294758388463,vulnerable
400,1838.3519603411005,575.8793149651492,3246.848675543397,vulnerable
410,1850.4712091585461,577.4644479634035,3270.6081810773812,vulnerable
420,1861.5477846926897,578.6566950745955,3293.3539297032567,vulnerable
430,1872.7122389081078,581.8395274299392,3315.1293030314646,vulnerable
440,1883.1006904458445,584.4594474066553,3335.975142678937,vulnerable
450,1892.078915430252,586.7296108576302,3354.7116445750535,vulnerable
460,1899.7616908530463,588.9681826653014,3371.399179868613,vulnerable
470,1906.390275644957,591.1777109292716,3387.8702087454685,vulnerable
480,1914.2088889816732,593.3591792738298,3404.1320636776354,vulnerable
490,1920.47316198947,595.5135183096227,3420.191681944497,vulnerable
500,1926.470509916876,597.6416095096711,3436.055634526663,vulnerable
510,1932.3962422663117,599.7442887304442,3451.7301523542064,vulnerable
520,1938.1094031140965,601.8223494168524,3466.576786217546,vulnerable
530,1943.1515208341552,603.8765455250286,3478.5284726650943,vulnerable
540,1949.3515181279017,605.707430070529,3490.345483093827,vulnerable
550,1955.8323563636186,606.9856198819343,3502.0317899409365,vulnerable
560,1959.8058962421073,608.2499280250904,3513.591178678359,vulnerable
570,1965.1260889013938,609.5007493956664,3525.0272597807725,vulnerable
580,1971.1378307503192,610.738460952798,3536.3434797317013,vulnerable
590,1977.0876455717043,611.96342282779,3547.5431311601897,vulnerable
600,1981.9296001979355,613.0848832068532,3558.264977631032,vulnerable
610,1983.8160697567218,613.9423693699373,3567.8688226576032,vulnerable
620,1987.3201600024604,614.7914552385064,3577.3785843855494,vulnerable
630,1992.3655690190371,615.6323567412674,3586.796681216483,vulnerable
640,1997.3631141505284,616.4652809298514,3596.1254321286087,vulnerable
650,2002.31398742889,617.2904264762401,3605.367062248213,vulnerable
660,2007.2193333825235,618.1079841351802,3614.5237080283296,vulnerable
670,2012.080251618061,618.918137174438,3623.5974220679946,vulnerable
680,2016.8977992252985,619.7210617756464,3632.5901776015107,vulnerable
690,2019.605283387682,620.7236983713774,3639.953090460931,vulnerable
700,2021.1832229271877,621.828256049037,3646.422642572892,vulnerable
710,2022.7476848788192,622.439517226403,3652.8369365745875,vulnerable
720,2024.2989719159104,622.2843885226939,3659.1972134266543,vulnerable
730,2025.8373758188245,622.1305481324034,3665.504669428592,vulnerable
740,2027.9132773371402,621.9779679132462,3671.760458414021,vulnerable
750,2031.2429158420782,621.8266207084744,3677.9656938095904,vulnerable
760,2034.5460048346813,621.6764802997241,3684.55838651249,vulnerable
770,2037.1861294938572,621.5275213626828,3691.261538679235,vulnerable
780,2039.1088006056289,621.3797194254639,3697.082141801344,vulnerable
790,2040.722155162961,621.2330508293398,3701.1888624927415,vulnerable
800,2042.3232946754542,621.0874926918405,3705.2644903427263,vulnerable
810,2043.9124626948014,620.9430228719011,3709.3096453010494,vulnerable
820,2045.4898949785147,620.7996199370173,3713.324927477781,vulnerable
830,2047.055819831141,620.6572631322324,3717.424963175841,vulnerable
840,2049.284646256401,620.5159323508378,3721.664886617815,vulnerable
850,2051.810482651712,620.3756081066495,3725.874613943335,vulnerable
860,2054.3185414302297,620.2362715078452,3730.0547119075236,vulnerable
870,2056.5554317502174,620.0979042321069,3734.2057301796704,vulnerable
880,2057.300903130241,620.0790229936938,3737.498460614477,vulnerable
